loan_id,account_id,date,Norm_date,amount,duration,payments,status,Status
5314,1787,930705,1928-10-01,96396,12,8033,B,Loan Not Paid
5316,1801,930711,1934-10-01,165960,36,4610,A,Contract Finished
6863,9188,930728,1951-10-01,127080,60,2118,A,Contract Finished
5325,1843,930803,1926-11-01,105804,36,2939,A,Contract Finished
7240,11013,930906,1929-12-02,274740,60,4579,A,Contract Finished
6687,8261,930913,1936-12-02,87840,24,3660,A,Contract Finished
7284,11265,930915,1938-12-02,52788,12,4399,A,Contract Finished
6111,5428,930924,1947-12-02,174744,24,7281,B,Loan Not Paid
7235,10973,931013,1937-01-01,154416,48,3217,A,Contract Finished
5997,4894,931104,1928-02-01,117024,24,4876,A,Contract Finished
7121,10364,931110,1934-02-01,21924,36,609,A,Contract Finished
6077,5270,931122,1946-02-01,79608,24,3317,A,Contract Finished
6228,6034,931201,1925-03-03,464520,60,7742,B,Loan Not Paid
6356,6701,931208,1932-03-02,95400,36,2650,A,Contract Finished
5523,2705,931208,1932-03-02,93888,36,2608,A,Contract Finished
6456,7123,931209,1933-03-03,47016,12,3918,A,Contract Finished
7104,10320,931213,1937-03-03,259740,60,4329,A,Contract Finished
6820,9034,931216,1940-03-02,38148,12,3179,A,Contract Finished
6876,9236,931221,1945-03-03,86616,12,7218,A,Contract Finished
7097,10266,931223,1947-03-03,75624,24,3151,B,Loan Not Paid
4959,2,940105,1928-04-03,80952,24,3373,A,Contract Finished
6499,7401,940105,1928-04-03,80952,24,3373,A,Contract Finished
5479,2486,940110,1933-04-04,24516,12,2043,A,Contract Finished
5170,1071,940120,1943-04-04,253200,60,4220,C,Running Contract
6721,8475,940121,1944-04-03,21072,24,878,A,Contract Finished
7259,11111,940131,1954-04-04,108144,36,3004,A,Contract Finished
5285,1603,940206,1929-05-05,78936,12,6578,A,Contract Finished
5189,1166,940207,1930-05-05,149040,48,3105,A,Contract Finished
6650,8073,940217,1940-05-04,49320,12,4110,B,Loan Not Paid
7226,10940,940223,1946-05-05,197748,36,5493,A,Contract Finished
